Index,X,Y,Z,Fx,Fy,Fz,Lx,Ly,Lz,Nx,Ny,Nz
1.0,0.0,0.0,0.0,0.992854,0.001765,0.119325,0.119326,3.1e-05,-0.992855,-0.001756,0.999998,-0.00018
2.0,0.5969926054417253,0.007656965999078327,0.07132270810544028,0.992707,0.025412,0.117847,0.117885,1.2e-05,-0.993027,-0.025236,0.999677,-0.002984
3.0,1.1936370576469604,0.03210706427570177,0.1416803282237186,0.991585,0.057167,0.11615,0.116343,-6.2e-05,-0.993209,-0.056772,0.998365,-0.006713
4.0,1.7891721096426543,0.07743072291764679,0.2109886782251136,0.988927,0.09457,0.114368,0.114904,-0.00022,-0.993377,-0.093918,0.995518,-0.011084
5.0,2.3824835508118527,0.14697478288226143,0.2791888306188205,0.984084,0.137602,0.112447,0.11359,-0.000455,-0.993528,-0.13666,0.990487,-0.016078
6.0,2.9721541148706048,0.24339278515854623,0.34619299546955834,0.976753,0.183758,0.110396,0.112448,-0.00075,-0.993657,-0.18251,0.982971,-0.021396
7.0,3.556488133205954,0.3687550088367184,0.4119290166661375,0.966201,0.233958,0.10826,0.111604,-0.001061,-0.993752,-0.232381,0.972246,-0.027136
8.0,4.133497704954624,0.5248833957243176,0.47645161259287694,0.952602,0.284977,0.106473,0.111448,-0.001249,-0.99377,-0.283069,0.958533,-0.03295
9.0,4.701202144864458,0.7123419660904762,0.5399471865370166,0.93454,0.340131,0.104621,0.111727,-0.001317,-0.993738,-0.337864,0.940377,-0.039233
10.0,5.256235971649383,0.9348311258373718,0.6021686038177319,0.910868,0.399821,0.102288,0.112164,-0.00131,-0.993689,-0.397164,0.916592,-0.046039
11.0,5.795573439046847,1.1933923281698422,0.6628675271523448,0.881561,0.461477,0.099444,0.112721,-0.001214,-0.993626,-0.458415,0.887151,-0.053088
12.0,6.314742672065869,1.4907181986371156,0.7215713340125629,0.843873,0.527947,0.09565,0.113282,-0.001062,-0.993562,-0.524447,0.849276,-0.060703
13.0,6.808656664867575,1.8287310963014705,0.7776859390829247,0.796968,0.597165,0.090747,0.113784,-0.000879,-0.993505,-0.593207,0.802118,-0.068648
14.0,7.270720950190156,2.209542790017058,0.8303923705014273,0.738628,0.668813,0.084369,0.114141,-0.000732,-0.993464,-0.66438,0.74343,-0.07688
15.0,7.694623070906368,2.6328983281910077,0.8788524147764171,0.669589,0.738772,0.076597,0.114354,-0.000644,-0.99344,-0.733876,0.673955,-0.084912
16.0,8.073874388717478,3.097143531974297,0.9222525117542306,0.590149,0.804464,0.067544,0.114483,-0.000574,-0.993425,-0.799135,0.594002,-0.092436
17.0,8.40269940822368,3.598819117136307,0.9598602769062924,0.501806,0.86308,0.057305,0.114486,-0.000605,-0.993425,-0.85737,0.505068,-0.099114
